generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G7T3,False,False,False,1,0.0,3,144.0,24.186679,0.0
11,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G11T4,False,False,False,1,0.0,3,142.0,25.21473,0.0
11,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G11T3,False,False,False,1,0.0,3,143.0,25.244371,0.0
7,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G7T4,False,False,False,1,0.0,3,137.0,23.619035,0.0
15,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G15T2,False,False,False,2,0.0,4,137.0,28.196891,0.0
3,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G3T2,False,False,False,1,0.0,3,140.0,22.087992,0.0
17,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G17T1,False,False,False,1,0.0,3,142.0,23.220782,0.0
9,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G9T2,False,False,False,1,0.0,3,139.0,21.11911,0.0
1,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G1T1,False,False,False,1,0.0,2,137.0,21.046938,0.0
13,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G13T1,False,False,False,2,0.0,4,133.0,21.281073,0.0
5,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G5T1,False,False,False,1,0.0,3,138.0,25.783577,0.0
11,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G11T2,False,False,False,1,0.0,3,140.0,23.113428,0.0
19,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G19T1,False,False,False,1,0.0,3,137.0,26.164808,0.0
7,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G7T2,False,False,False,1,0.0,3,144.0,23.170758,0.0
9,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G9T3,False,False,False,1,0.0,2,131.0,22.163882,0.0
9,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G9T4,False,False,False,1,0.0,3,136.0,26.313245,0.0
3,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G3T3,False,False,False,1,0.0,3,136.0,23.160062,0.0
15,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G15T4,False,False,False,1,0.0,3,143.0,22.170036,0.0
15,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G15T3,False,False,False,1,0.0,3,144.0,20.170394,0.0
3,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G3T4,False,False,False,1,0.0,2,127.0,22.092384,0.0
20,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G20T3,False,False,False,1,0.0,3,135.0,22.574841,0.0
20,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G20T4,False,False,False,1,0.0,2,137.0,23.132214,0.0
24,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G24T2,False,False,False,1,0.0,2,136.0,24.122219,0.0
20,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G20T2,False,False,False,1,0.0,3,145.0,21.108642,0.0
22,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G22T1,False,False,False,1,0.0,2,139.0,20.102658,0.0
24,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G24T3,False,False,False,1,0.0,2,129.0,21.176001,0.0
24,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G24T4,False,False,False,1,0.0,3,143.0,24.378426,0.0
16,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G16T2,False,False,False,1,0.0,2,130.0,19.112287,0.0
0,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G0T2,False,False,False,1,0.0,3,138.0,19.747891,1.0
8,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G8T1,False,False,False,1,0.0,2,129.0,23.228269,0.0
14,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G14T1,False,False,False,1,0.0,2,140.0,20.125396,0.0
2,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G2T1,False,False,False,1,0.0,3,136.0,23.32699,0.0
12,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G12T4,False,False,False,1,0.0,3,140.0,19.164291,0.0
4,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G4T3,False,False,False,1,0.0,2,132.0,20.103772,0.0
4,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G4T4,False,False,False,1,0.0,2,131.0,25.627749,0.0
12,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G12T3,False,False,False,1,0.0,2,132.0,26.253339,0.0
18,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G18T4,False,False,False,1,0.0,3,143.0,24.175702,0.0
18,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G18T3,False,False,False,1,0.0,2,137.0,22.199224,0.0
16,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G16T4,False,False,False,1,0.0,2,140.0,24.990898,0.0
0,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G0T3,False,False,False,1,0.0,2,132.0,20.153312,0.0
0,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G0T4,False,False,False,1,0.0,3,143.0,26.258313,0.0
16,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G16T3,False,False,False,1,0.0,3,142.0,25.22644,0.0
18,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G18T2,False,False,False,1,0.0,3,138.0,25.100849,0.0
10,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G10T1,False,False,False,1,0.0,3,138.0,23.093448,0.0
6,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G6T1,False,False,False,1,0.0,3,141.0,25.14688,0.0
12,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G12T2,False,False,False,1,0.0,2,135.0,24.204876,0.0
4,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G4T2,False,False,False,1,0.0,3,135.0,23.110475,0.0
23,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G23T3,False,False,False,1,0.0,2,143.0,22.22619,0.0
23,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G23T4,False,False,False,1,0.0,3,143.0,19.507066,0.0
23,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G23T2,False,False,False,1,0.0,2,136.0,21.109477,0.0
21,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G21T1,False,False,False,1,0.0,2,139.0,26.101984,0.0
3,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G3T1,False,False,False,1,0.0,3,135.0,26.145637,0.0
15,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G15T1,False,False,False,1,0.0,3,143.0,22.124054,0.0
9,1,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G9T1,False,False,False,1,0.0,3,135.0,24.179267,0.0
1,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G1T2,False,False,False,1,0.0,2,133.0,22.080881,0.0
17,2,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G17T2,False,False,False,1,0.0,3,145.0,24.172073,0.0
19,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G19T3,False,False,False,1,0.0,3,142.0,25.143051,0.0
19,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G19T4,False,False,False,1,0.0,3,147.0,19.124201,0.0
5,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G5T4,False,False,False,1,0.0,2,138.0,18.106532,0.0
13,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G13T3,False,False,False,1,0.0,3,136.0,24.161707,0.0
13,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G13T4,False,False,False,2,0.0,4,137.0,23.27033,0.0
5,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G5T3,False,False,False,1,0.0,2,141.0,22.111644,0.0
1,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G1T4,False,False,False,1,0.0,2,132.0,23.167027,0.0
17,3,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G17T3,False,False,False,1,0.0,3,136.0,23.517153,0.0
17,4,,bug1,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_13_14h21m_14s/bug1/evo_aptos/round_timeout_count_fitness/G17T4,False,False,False,1,0.0,3,141.0,23.11004,0.0
