generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G7T3,False,False,False,10,0.0,3,84.0,26.218836,2.0
7,14,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G7T14,False,False,False,13,0.0,3,82.0,31.369688,0.0
7,13,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G7T13,False,False,False,2,0.0,3,76.0,16.042706,1.0
7,4,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G7T4,False,False,False,6,0.0,7,73.0,42.33351,0.0
5,9,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G5T9,False,False,False,3,0.0,4,66.0,12.031769,1.0
3,15,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G3T15,False,False,False,2,0.0,3,65.0,19.089855,1.0
3,12,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G3T12,False,False,False,7,0.0,3,78.0,15.071338,1.0
5,7,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G5T7,False,False,False,21,0.0,3,78.0,61.745871,0.0
1,8,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G1T8,False,False,False,2,0.0,3,73.0,16.073211,1.0
3,5,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_25_12h20m_50s/bug2/evo_aptos/vote_fragmentation_fitness/G3T5,False,False,False,12,0.0,3,65.0,37.671483,2.0
