generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G7T3,False,False,False,14,0.0,2,119.0,54.346199,0.0
11,4,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G11T4,False,False,False,9,0.0,3,109.0,33.433863,0.0
11,3,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G11T3,False,False,False,9,0.0,3,63.0,31.452092,0.0
7,4,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G7T4,False,False,False,9,0.0,3,97.0,29.524711,0.0
15,2,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G15T2,False,False,False,12,0.0,3,108.0,32.198715,0.0
3,2,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G3T2,False,False,False,9,0.0,3,66.0,32.610266,1.0
17,1,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G17T1,False,False,False,10,0.0,3,94.0,33.550663,0.0
9,2,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G9T2,False,False,False,9,0.0,3,97.0,33.438242,0.0
1,1,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G1T1,False,False,False,7,0.0,3,97.0,25.345918,0.0
13,1,,bug3,evo_aptos,block_height_skew_fitness,block_height_skew_fitness,evo,evo/logs/2026_08_11_19h58m_45s/bug3/evo_aptos/block_height_skew_fitness/G13T1,False,False,False,11,0.0,3,84.0,37.509353,0.0
