generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G7T3,False,False,False,2,0.0,3,123.0,14.621198,1.0
11,4,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G11T4,False,False,False,3,0.0,6,149.0,37.277955,3.0
11,3,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G11T3,False,False,False,2,0.0,3,139.0,20.128433,1.0
7,4,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G7T4,False,False,False,3,0.0,6,141.0,38.323995,3.0
15,2,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G15T2,False,False,False,2,0.0,4,139.0,16.078805,1.0
3,2,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G3T2,False,False,False,3,0.0,6,151.0,40.276506,3.0
17,1,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G17T1,False,False,False,2,0.0,3,138.0,18.162078,1.0
9,2,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G9T2,False,False,False,1,0.0,3,141.0,21.347331,1.0
1,1,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G1T1,False,False,False,1,0.0,2,140.0,20.853188,0.0
13,1,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G13T1,False,False,False,3,0.0,6,149.0,40.052634,3.0
5,1,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G5T1,False,False,False,3,0.0,6,144.0,39.409811,3.0
11,2,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G11T2,False,False,False,2,0.0,4,147.0,17.11014,1.0
19,1,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G19T1,False,False,False,3,0.0,6,145.0,40.158386,3.0
7,2,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G7T2,False,False,False,1,0.0,3,141.0,18.855297,1.0
9,3,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G9T3,False,False,False,2,0.0,3,138.0,18.119423,1.0
9,4,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G9T4,False,False,False,3,0.0,6,150.0,39.723968,3.0
3,3,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G3T3,False,False,False,3,0.0,6,151.0,39.252246,3.0
15,4,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G15T4,False,False,False,3,0.0,6,148.0,39.339116,3.0
15,3,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G15T3,False,False,False,2,0.0,3,131.0,14.128598,1.0
3,4,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G3T4,False,False,False,2,0.0,4,143.0,24.220129,2.0
20,3,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G20T3,False,False,False,3,0.0,6,154.0,40.166501,3.0
20,4,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G20T4,False,False,False,3,0.0,6,152.0,38.1359,3.0
24,2,,bug1,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_21h07m_44s/bug1/evo_aptos/round_stress_fitness/G24T2,False,False,False,3,0.0,6,150.0,40.099208,3.0
