generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,commits,agreement_violations,real_liveness,potential_liveness,max_height,mutations,max_inter_block_latency_sec,avg_inter_block_latency_sec,global_blocks_committed,max_round_gap_between_committed_blocks,avg_round_gap_between_committed_blocks,global_rounds_committed,max_block_height_skew,final_block_height_skew,time_fitness,round_stress_fitness,block_height_skew_fitness
,,0,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_0,False,False,False,4,0,0,0,10.0,0,15.090197,7.278780444444444,10,3,1.625,8,2,0,15.090197,3,2
,,1,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_1,False,False,False,2,0,0,0,10.0,0,14.052214,7.6175718888888895,10,3,1.3333333333333333,9,2,0,14.052214,3,2
,,2,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_2,False,False,False,4,0,0,0,10.0,0,14.134855,8.524045111111112,10,3,1.3333333333333333,9,2,0,14.134855,3,2
,,3,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_3,False,False,False,4,0,0,0,10.0,0,13.086174,8.186961777777778,10,3,1.3333333333333333,9,2,0,13.086174,3,2
,,4,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_4,False,False,False,4,0,0,0,10.0,0,19.131633,9.196700222222223,10,4,1.875,8,2,0,19.131633,4,2
,,5,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_5,False,False,False,4,0,0,0,12.0,0,18.154752,10.439152555555555,10,3,1.3333333333333333,9,3,2,18.154752,3,3
,,6,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_6,False,False,False,2,0,0,0,10.0,0,18.131071,5.8094719999999995,10,3,1.625,8,5,0,18.131071,3,5
,,7,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_7,False,False,False,4,0,0,0,10.0,0,17.383241,11.112164111111111,10,3,1.5555555555555556,9,2,0,17.383241,3,2
,,8,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_8,False,False,False,4,0,0,0,11.0,0,20.03116,9.3702348,11,4,1.6666666666666667,9,2,0,20.03116,4,2
,,9,aptos-b3-c0d1,byzzfuzz,,,dstest,dstest/output/aptos-b3-c0d1/20260614_182515/aptos-b3-c0d1_byzzfuzz_9,False,False,False,4,0,0,0,10.0,0,35.828279,13.620747222222223,10,3,1.5555555555555556,9,2,0,35.828279,3,2
