generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G7T3,False,False,False,10,0.0,5,83.0,35.367893,2.0
11,4,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G11T4,False,False,False,8,0.0,4,93.0,19.351203,2.0
30,2,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G30T2,False,False,False,8,0.0,3,65.0,20.256042,1.0
11,3,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G11T3,False,False,False,13,0.0,3,100.0,49.678614,1.0
7,4,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G7T4,False,False,False,7,0.0,4,74.0,14.218002,2.0
38,1,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G38T1,False,False,False,18,0.0,3,107.0,60.332376,2.0
32,1,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G32T1,False,False,False,9,0.0,5,98.0,36.12437,1.0
15,2,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G15T2,False,False,False,18,0.0,3,121.0,62.864736,1.0
34,3,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G34T3,False,False,False,6,0.0,4,78.0,15.049422,1.0
34,4,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G34T4,False,False,False,9,0.0,3,60.0,27.49005,2.0
3,2,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G3T2,False,False,False,12,0.0,4,93.0,28.384531,2.0
17,1,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G17T1,False,False,False,15,0.0,3,106.0,56.806575,1.0
9,2,,bug2,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_23h51m_42s/bug2/evo_aptos/vote_fragmentation_fitness/G9T2,False,False,False,10,0.0,3,73.0,31.433335,1.0
