generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G7T3,False,False,False,2,0.0,4,64.0,13.646122,1.0
11,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G11T4,False,False,False,3,0.0,5,65.0,16.089352,1.0
11,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G11T3,False,False,False,4,0.0,5,65.0,14.107962,1.0
7,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G7T4,False,False,False,4,0.0,7,67.0,26.102553,0.0
15,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G15T2,False,False,False,6,0.0,7,67.0,42.585133,0.0
3,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G3T2,False,False,False,6,0.0,7,69.0,40.518564,0.0
17,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G17T1,False,False,False,5,0.0,5,70.0,30.197935,0.0
9,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G9T2,False,False,False,6,0.0,7,68.0,42.190412,0.0
1,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G1T1,False,False,False,12,0.0,3,67.0,31.38978,0.0
13,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G13T1,False,False,False,6,0.0,7,69.0,42.78428,0.0
5,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G5T1,False,False,False,3,0.0,3,45.0,13.056309,0.0
11,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G11T2,False,False,False,4,0.0,4,60.0,20.977299,1.0
19,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G19T1,False,False,False,3,0.0,5,65.0,18.086807,1.0
7,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G7T2,False,False,False,2,0.0,3,51.0,9.046657,1.0
9,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G9T3,False,False,False,3,0.0,3,46.0,13.006229,1.0
9,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G9T4,False,False,False,3,0.0,3,39.0,9.035654,1.0
3,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G3T3,False,False,False,2,0.0,3,55.0,19.118503,1.0
15,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G15T4,False,False,False,2,0.0,3,42.0,15.032422,1.0
15,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G15T3,False,False,False,5,0.0,5,65.0,29.059502,0.0
3,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G3T4,False,False,False,4,0.0,3,45.0,15.061121,1.0
20,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G20T3,False,False,False,5,0.0,7,71.0,28.208755,0.0
20,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G20T4,False,False,False,3,0.0,3,47.0,10.034641,1.0
24,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G24T2,False,False,False,2,0.0,3,62.0,14.293079,0.0
20,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G20T2,False,False,False,2,0.0,3,55.0,13.614687,1.0
22,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G22T1,False,False,False,3,0.0,5,66.0,15.901231,1.0
24,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G24T3,False,False,False,3,0.0,3,39.0,10.168646,1.0
24,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G24T4,False,False,False,5,0.0,7,30.0,41.615959,0.0
16,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G16T2,False,False,False,3,0.0,3,46.0,11.123273,1.0
0,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G0T2,False,False,False,5,0.0,5,58.0,32.113077,0.0
8,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G8T1,False,False,False,2,0.0,3,50.0,9.622471,1.0
14,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G14T1,False,False,False,5,0.0,5,64.0,30.241026,0.0
2,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G2T1,False,False,False,3,0.0,4,61.0,11.924598,1.0
12,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G12T4,False,False,False,4,0.0,7,66.0,24.300692,1.0
4,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G4T3,False,False,False,4,0.0,7,69.0,26.964815,1.0
4,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G4T4,False,False,False,3,0.0,5,61.0,17.033788,0.0
12,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G12T3,False,False,False,6,0.0,7,68.0,44.82067,0.0
18,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G18T4,False,False,False,3,0.0,3,43.0,15.005655,1.0
18,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G18T3,False,False,False,3,0.0,3,46.0,11.051145,1.0
16,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G16T4,False,False,False,3,0.0,5,53.0,16.079405,0.0
0,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G0T3,False,False,False,10,0.0,5,75.0,27.120067,0.0
0,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G0T4,False,False,False,3,0.0,3,73.0,19.106559,0.0
16,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G16T3,False,False,False,2,0.0,4,64.0,13.24358,1.0
18,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G18T2,False,False,False,7,0.0,7,75.0,46.500302,0.0
10,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G10T1,False,False,False,3,0.0,3,53.0,17.372386,1.0
6,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G6T1,False,False,False,3,0.0,5,52.0,18.408114,1.0
12,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G12T2,False,False,False,2,0.0,3,42.0,10.321374,1.0
4,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G4T2,False,False,False,6,0.0,7,65.0,40.968276,0.0
23,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G23T3,False,False,False,5,0.0,5,61.0,27.169404,0.0
23,4,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G23T4,False,False,False,6,0.0,7,66.0,42.600582,0.0
23,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G23T2,False,False,False,2,0.0,3,73.0,17.587064,1.0
21,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G21T1,False,False,False,2,0.0,4,70.0,14.097856,1.0
3,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G3T1,False,False,False,2,0.0,3,44.0,15.046904,1.0
15,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G15T1,False,False,False,2,0.0,4,71.0,16.077364,1.0
9,1,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G9T1,False,False,False,4,0.0,4,58.0,28.085405,1.0
1,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G1T2,False,False,False,14,0.0,3,83.0,39.5551,0.0
17,2,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G17T2,False,False,False,6,0.0,7,69.0,43.79073,0.0
19,3,,bug2,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_12_19h48m_39s/bug2/evo_aptos/time_fitness/G19T3,False,False,False,3,0.0,3,40.0,10.880606,1.0
