generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G7T3,False,False,False,3,0.0,2,126.0,36.141287,1.0
11,4,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G11T4,False,False,False,2,0.0,3,128.0,20.087286,1.0
11,3,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G11T3,False,False,False,2,0.0,2,129.0,23.089,1.0
7,4,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G7T4,False,False,False,3,0.0,2,135.0,24.693838,2.0
15,2,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G15T2,False,False,False,2,0.0,2,131.0,19.572473,1.0
3,2,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G3T2,False,False,False,2,0.0,2,127.0,36.200697,1.0
17,1,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G17T1,False,False,False,2,0.0,2,131.0,18.148222,1.0
9,2,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G9T2,False,False,False,2,0.0,2,125.0,19.092209,1.0
1,1,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G1T1,False,False,False,5,0.0,3,132.0,27.184242,0.0
13,1,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G13T1,False,False,False,2,0.0,2,129.0,20.136039,1.0
5,1,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G5T1,False,False,False,3,0.0,3,135.0,22.179879,2.0
11,2,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G11T2,False,False,False,1,0.0,2,138.0,22.152823,2.0
19,1,,bug3,evo_aptos,vote_fragmentation_fitness,vote_fragmentation_fitness,evo,evo/logs/2026_08_12_11h11m_38s/bug3/evo_aptos/vote_fragmentation_fitness/G19T1,False,False,False,2,0.0,2,120.0,18.078992,1.0
