generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,commits,agreement_violations,real_liveness,potential_liveness,max_height,mutations,max_inter_block_latency_sec,avg_inter_block_latency_sec,global_blocks_committed,max_round_gap_between_committed_blocks,avg_round_gap_between_committed_blocks,global_rounds_committed,max_block_height_skew,final_block_height_skew,time_fitness,round_stress_fitness,block_height_skew_fitness
,,0,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_0,False,False,False,4,0,0,0,10.0,0,16.115878,12.225845125,9,2,1.2222222222222223,9,1,1,16.115878,2,1
,,1,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_1,False,False,False,2,0,0,0,8.0,0,20.110317,10.925832428571429,8,4,1.5714285714285714,7,2,0,20.110317,4,2
,,2,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_2,False,False,False,2,0,0,0,7.0,20,18.275521,13.481199333333334,7,3,1.5714285714285714,7,1,0,18.275521,3,1
,,3,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_3,False,False,False,2,0,0,0,8.0,12,25.245252,10.935960428571429,8,4,2.1666666666666665,6,2,0,25.245252,4,2
,,4,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_4,False,False,False,4,0,0,0,11.0,21,15.175198,10.5813253,11,3,1.3,10,2,0,15.175198,3,2
,,5,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_5,False,False,False,4,0,0,0,11.0,0,20.155484,10.6795317,11,4,1.7777777777777777,9,2,0,20.155484,4,2
,,6,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_6,False,False,False,4,0,0,0,9.0,7,18.488769,12.771504166666666,7,3,1.4285714285714286,7,2,2,18.488769,3,2
,,7,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_7,False,False,False,2,0,0,0,8.0,19,22.245503,10.932612285714285,8,4,1.5714285714285714,7,2,0,22.245503,4,2
,,8,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_8,False,False,False,4,0,0,0,10.0,5,21.324318,10.408221333333334,10,4,2.125,8,2,0,21.324318,4,2
,,9,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_9,False,False,False,4,0,0,0,9.0,80,16.081672,10.16211275,9,4,1.625,8,2,0,16.081672,4,2
,,10,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_10,False,False,False,2,0,0,0,8.0,18,18.083602,12.085304714285714,8,3,1.25,8,1,0,18.083602,3,1
,,11,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_11,False,False,False,2,0,0,0,10.0,0,39.739177,14.649098375,9,5,2.0,8,2,1,39.739177,5,2
,,12,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_12,False,False,False,4,0,0,0,11.0,0,16.090109,9.9808925,11,4,1.6666666666666667,9,2,0,16.090109,4,2
,,13,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_13,False,False,False,2,0,0,0,7.0,0,20.214232,13.7035234,6,3,1.5,6,1,1,20.214232,3,1
,,14,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_14,False,False,False,4,0,0,0,10.0,41,16.098281,11.766574111111112,10,4,1.4444444444444444,9,2,0,16.098281,4,2
,,15,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_15,False,False,False,2,0,0,0,9.0,35,15.099631,12.208688375,9,2,1.1111111111111112,9,1,0,15.099631,2,1
,,16,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_16,False,False,False,2,0,0,0,8.0,51,14.006961,11.927527571428572,8,2,1.25,8,1,0,14.006961,2,1
,,17,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_17,False,False,False,4,0,0,0,9.0,11,16.175487,10.088881857142857,8,4,2.0,6,2,1,16.175487,4,2
,,18,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_18,False,False,False,2,0,0,0,9.0,12,19.844759,12.149246875,9,3,1.3333333333333333,9,1,0,19.844759,3,1
,,19,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_19,False,False,False,2,0,0,0,7.0,31,34.38,14.622867,7,5,1.8333333333333333,6,2,0,34.38,5,2
,,20,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_20,False,False,False,4,0,0,0,12.0,19,18.175656,9.249756272727273,12,4,2.111111111111111,9,2,0,18.175656,4,2
,,21,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_21,False,False,False,4,0,0,0,10.0,36,17.081405,10.607100777777777,10,4,1.4444444444444444,9,2,0,17.081405,4,2
,,22,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_22,False,False,False,2,0,0,0,8.0,0,17.083134,11.782302285714286,8,2,1.25,8,1,0,17.083134,2,1
,,23,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_23,False,False,False,2,0,0,0,7.0,36,34.438029,13.7129288,6,5,2.2,5,2,1,34.438029,5,2
,,24,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_24,False,False,False,4,0,0,0,11.0,5,39.666024,13.46941,10,4,2.0,8,2,1,39.666024,4,2
,,25,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_25,False,False,False,4,0,0,0,9.0,26,17.069445,11.449315,9,4,1.5,8,2,0,17.069445,4,2
,,26,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_26,False,False,False,2,0,0,0,9.0,0,16.107688,12.514766285714286,8,2,1.125,8,1,1,16.107688,2,1
,,27,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_27,False,False,False,2,0,0,0,8.0,3,33.258457,11.091966428571428,8,6,2.3333333333333335,6,3,0,33.258457,6,3
,,28,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_28,False,False,False,4,0,0,0,11.0,30,17.447334,9.2417619,11,4,2.25,8,2,0,17.447334,4,2
,,29,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_29,False,False,False,2,0,0,0,9.0,20,21.359558,11.510567142857143,8,4,1.8571428571428572,7,2,1,21.359558,4,2
,,30,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_30,True,False,True,0,0,1,1,1.0,9,125.869898,0.0,1,2,2.0,1,1,0,125.869898,2,1
,,31,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_31,False,False,False,4,0,0,0,9.0,14,20.205854,11.459663375,9,4,1.75,8,2,0,20.205854,4,2
,,32,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_32,False,False,False,4,0,0,0,10.0,0,44.823864,14.399624625,9,4,1.5,8,2,1,44.823864,4,2
,,33,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_33,False,False,False,0,0,0,0,8.0,0,48.871666,19.700369166666665,7,2,1.1428571428571428,7,1,1,48.871666,2,1
,,34,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_34,False,False,False,0,0,0,0,8.0,52,20.362436,11.999382571428571,8,2,1.25,8,1,0,20.362436,2,1
,,35,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_35,False,False,False,0,0,0,0,9.0,26,19.296503,13.748735625,9,3,1.3333333333333333,9,1,0,19.296503,3,1
,,36,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_36,False,False,False,2,0,0,0,9.0,0,35.660143,14.764146,9,4,1.4444444444444444,9,1,0,35.660143,4,1
,,37,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_37,False,False,False,2,0,0,0,9.0,8,18.394777,11.465038250000001,9,4,1.75,8,2,0,18.394777,4,2
,,38,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_38,False,False,False,2,0,0,0,9.0,0,20.284512,14.01615625,9,3,1.3333333333333333,9,1,0,20.284512,3,1
,,39,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_39,False,False,False,0,0,0,0,9.0,42,15.145252,12.8713025,9,2,1.1111111111111112,9,1,0,15.145252,2,1
,,40,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_40,False,False,False,4,0,0,0,8.0,5,21.34627,13.533874142857144,8,4,1.8571428571428572,7,2,0,21.34627,4,2
,,41,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_41,False,False,False,4,0,0,0,12.0,10,21.118113,9.87664409090909,12,4,1.3636363636363635,11,2,0,21.118113,4,2
,,42,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_42,False,False,False,2,0,0,0,9.0,51,15.080821,11.378981,8,3,1.375,8,1,1,15.080821,3,1
,,43,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_43,False,False,False,0,0,0,0,7.0,16,29.350492,12.721779999999999,6,4,1.8,5,2,1,29.350492,4,2
,,44,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_44,False,False,False,4,0,0,0,10.0,6,39.670184,14.407303875,9,3,1.625,8,2,1,39.670184,3,2
,,45,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_45,False,False,False,2,0,0,0,8.0,15,27.129764,14.647960499999998,7,3,1.4285714285714286,7,1,1,27.129764,3,1
,,46,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_46,False,False,False,0,0,0,0,8.0,2,50.046863,16.656636,8,7,2.0,7,2,0,50.046863,7,2
,,47,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_47,False,False,False,4,0,0,0,12.0,27,16.210397,9.814659636363636,12,4,1.7,10,2,0,16.210397,4,2
,,48,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_48,False,False,False,2,0,0,0,10.0,0,14.213052,11.101109555555556,10,3,1.3333333333333333,9,2,0,14.213052,3,2
,,49,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_49,False,False,False,4,0,0,0,11.0,0,16.181606,10.292284200000001,11,3,1.3,10,2,0,16.181606,3,2
,,50,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_50,False,False,False,2,0,0,1,7.0,11,47.785546,16.542144333333333,7,6,2.0,6,2,0,47.785546,6,2
,,51,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_51,False,False,False,2,0,0,1,7.0,14,20.216128,12.585782,7,3,1.4285714285714286,7,1,0,20.216128,3,1
,,52,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_52,True,False,True,0,0,1,1,1.0,24,126.992826,0.0,1,2,2.0,1,1,0,126.992826,2,1
,,53,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_53,False,False,False,2,0,0,0,8.0,23,17.595016,11.868203285714285,8,3,1.375,8,1,0,17.595016,3,1
,,54,aptos-b1-c1d1,byzzfuzz,,,dstest,dstest/output/aptos-b1-c1d1/20260611_102510/aptos-b1-c1d1_byzzfuzz_54,False,False,False,0,0,0,1,3.0,58,64.757046,32.378523,3,7,4.5,2,2,0,64.757046,7,2
