generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G7T3,False,False,False,2,0.0,2,128.0,38.404667,0.0
11,4,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G11T4,False,False,False,2,0.0,2,129.0,38.302552,0.0
11,3,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G11T3,False,False,False,2,0.0,4,128.0,38.382509,0.0
7,4,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G7T4,False,False,False,2,0.0,2,128.0,38.418768,0.0
15,2,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G15T2,False,False,False,2,0.0,2,138.0,18.121138,0.0
3,2,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G3T2,False,False,False,2,0.0,2,129.0,35.677831,1.0
17,1,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G17T1,False,False,False,2,0.0,2,131.0,20.202849,0.0
9,2,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G9T2,False,False,False,2,0.0,2,130.0,38.086783,0.0
1,1,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G1T1,False,False,False,2,0.0,2,118.0,21.109077,0.0
13,1,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G13T1,False,False,False,2,0.0,2,128.0,21.176984,0.0
5,1,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G5T1,False,False,False,2,0.0,2,128.0,37.411633,0.0
11,2,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G11T2,False,False,False,3,0.0,4,137.0,38.255479,0.0
19,1,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G19T1,False,False,False,2,0.0,3,144.0,17.164863,0.0
7,2,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G7T2,False,False,False,3,0.0,4,140.0,36.485353,0.0
9,3,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G9T3,False,False,False,2,0.0,4,128.0,36.414713,0.0
9,4,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G9T4,False,False,False,2,0.0,2,124.0,37.027322,0.0
3,3,,bug3,evo_aptos,round_timeout_count_fitness,round_timeout_count_fitness,evo,evo/logs/2026_08_11_13h47m_22s/bug3/evo_aptos/round_timeout_count_fitness/G3T3,False,False,False,2,0.0,3,121.0,36.928773,1.0
