generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,commits,agreement_violations,real_liveness,potential_liveness,max_height,mutations,max_inter_block_latency_sec,avg_inter_block_latency_sec,global_blocks_committed,max_round_gap_between_committed_blocks,avg_round_gap_between_committed_blocks,global_rounds_committed,max_block_height_skew,final_block_height_skew,time_fitness,round_stress_fitness,block_height_skew_fitness
,,23,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_23,False,False,False,4,0,0,0,11.0,12,22.293169,9.065412499999999,11,4,1.6666666666666667,9,2,0,22.293169,4,2
,,24,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_24,False,False,False,2,0,0,0,10.0,17,13.055433,9.264737555555556,10,3,1.4444444444444444,9,2,0,13.055433,3,2
,,25,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_25,False,False,False,2,0,0,0,10.0,67,18.070917,9.932666000000001,10,3,1.3333333333333333,9,2,0,18.070917,3,2
,,26,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_26,False,False,False,2,0,0,0,10.0,26,18.068614,9.206800888888889,10,4,1.5555555555555556,9,2,0,18.068614,4,2
,,27,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_27,False,False,False,4,0,0,0,10.0,17,19.099418,10.31013888888889,10,4,1.4444444444444444,9,2,0,19.099418,4,2
,,28,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_28,False,False,False,4,0,0,0,11.0,0,13.050184,8.5491872,11,3,1.5555555555555556,9,2,0,13.050184,3,2
,,29,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_29,False,False,False,4,0,0,0,15.0,0,33.351268,13.643236,10,4,1.75,8,6,5,33.351268,4,6
,,30,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_30,False,False,False,2,0,0,0,10.0,23,15.137707,7.044123666666668,10,3,1.3333333333333333,9,2,0,15.137707,3,2
,,31,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_31,False,False,False,4,0,0,0,10.0,64,21.666449,10.74396175,9,3,1.625,8,2,1,21.666449,3,2
,,32,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_32,False,False,False,4,0,0,0,10.0,20,20.084139,9.039945222222222,10,4,1.75,8,2,0,20.084139,4,2
,,33,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_33,False,False,False,4,0,0,0,10.0,9,31.685059,10.547532222222223,10,3,1.3333333333333333,9,2,0,31.685059,3,2
,,34,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_34,False,False,False,4,0,0,0,11.0,0,17.074087,8.3564763,11,4,1.6666666666666667,9,2,0,17.074087,4,2
,,35,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_35,False,False,False,4,0,0,0,12.0,8,21.10077,9.59708911111111,10,3,1.625,8,5,2,21.10077,3,5
,,36,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_36,False,False,False,4,0,0,0,10.0,10,15.067695,7.591134555555556,10,4,1.75,8,2,0,15.067695,4,2
,,37,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_37,False,False,False,4,0,0,0,11.0,0,36.598652,11.1920743,11,3,1.7777777777777777,9,2,0,36.598652,3,2
,,38,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_38,False,False,False,4,0,0,0,9.0,10,16.669249,10.368149625000001,9,4,1.5,8,2,0,16.669249,4,2
,,39,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_39,False,False,False,4,0,0,0,11.0,7,16.073864,7.538538300000001,11,4,1.6666666666666667,9,2,0,16.073864,4,2
,,40,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_40,False,False,False,2,0,0,0,12.0,0,21.130788,10.926131571428572,8,2,1.125,8,4,4,21.130788,2,4
,,41,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_41,False,False,False,2,0,0,0,8.0,0,29.503661,12.447191666666667,7,4,1.6666666666666667,6,2,1,29.503661,4,2
,,42,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_42,False,False,False,4,0,0,0,10.0,6,20.08444,10.165365555555557,10,4,2.0,8,2,0,20.08444,4,2
,,43,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_43,False,False,False,4,0,0,0,10.0,2,17.075095,7.814234888888889,10,4,1.75,8,2,0,17.075095,4,2
