generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G7T3,False,False,False,1,0.0,3,139.0,24.113883,0.0
11,4,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G11T4,False,False,False,2,0.0,4,134.0,22.16459,0.0
11,3,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G11T3,False,False,False,1,0.0,3,140.0,26.11891,0.0
7,4,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G7T4,False,False,False,1,0.0,3,140.0,22.110452,0.0
15,2,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G15T2,False,False,False,2,0.0,6,149.0,43.900629,0.0
3,2,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G3T2,False,False,False,1,0.0,3,137.0,23.17958,0.0
17,1,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G17T1,False,False,False,2,0.0,6,147.0,42.997276,0.0
9,2,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G9T2,False,False,False,1,0.0,3,137.0,24.168008,0.0
1,1,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G1T1,False,False,False,1,0.0,3,135.0,23.15175,0.0
13,1,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G13T1,False,False,False,1,0.0,3,138.0,24.169702,0.0
5,1,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G5T1,False,False,False,1,0.0,3,143.0,22.098036,0.0
11,2,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G11T2,False,False,False,1,0.0,3,139.0,25.267101,0.0
19,1,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G19T1,False,False,False,2,0.0,6,148.0,47.066544,0.0
7,2,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G7T2,False,False,False,1,0.0,3,139.0,23.136395,0.0
9,3,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G9T3,False,False,False,1,0.0,3,138.0,24.677763,0.0
9,4,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G9T4,False,False,False,2,0.0,4,140.0,22.869508,0.0
3,3,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G3T3,False,False,False,1,0.0,3,138.0,22.127237,0.0
15,4,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G15T4,False,False,False,2,0.0,6,148.0,46.455757,0.0
15,3,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G15T3,False,False,False,2,0.0,6,147.0,43.492598,0.0
3,4,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G3T4,False,False,False,1,0.0,2,134.0,22.171962,0.0
20,3,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G20T3,False,False,False,2,0.0,4,127.0,21.094427,0.0
20,4,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G20T4,False,False,False,2,0.0,3,131.0,21.081277,0.0
24,2,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G24T2,False,False,False,1,0.0,5,156.0,41.4005,0.0
20,2,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G20T2,False,False,False,2,0.0,6,143.0,42.490556,0.0
22,1,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G22T1,False,False,False,2,0.0,6,150.0,43.060844,0.0
24,3,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G24T3,False,False,False,2,0.0,4,136.0,27.133124,0.0
24,4,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G24T4,False,False,False,2,0.0,6,148.0,43.684959,0.0
16,2,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G16T2,False,False,False,2,0.0,6,151.0,42.473845,0.0
0,2,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G0T2,False,False,False,1,0.0,3,148.0,20.198581,1.0
8,1,,bug1,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_13_10h21m_40s/bug1/evo_aptos/time_fitness/G8T1,False,False,False,2,0.0,4,137.0,22.134535,0.0
