generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G7T3,False,False,False,2,0.0,3,46.0,11.343475,1.0
11,4,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G11T4,False,False,False,3,0.0,5,63.0,28.07015,1.0
11,3,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G11T3,False,False,False,5,0.0,7,87.0,39.011776,0.0
7,4,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G7T4,False,False,False,4,0.0,5,66.0,15.135226,1.0
15,2,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G15T2,False,False,False,3,0.0,3,45.0,9.050636,1.0
3,2,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G3T2,False,False,False,6,0.0,7,71.0,43.571487,1.0
17,1,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G17T1,False,False,False,3,0.0,3,35.0,10.59029,0.0
9,2,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G9T2,False,False,False,6,0.0,7,75.0,42.458802,0.0
1,1,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G1T1,False,False,False,3,0.0,5,63.0,17.979795,1.0
13,1,,bug2,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_13_08h07m_41s/bug2/evo_aptos/round_stress_fitness/G13T1,False,False,False,3,0.0,5,50.0,14.054376,2.0
